BASE_YM,MENU_CODE,MENU_NM,NTT_CNT,NTT_PER_AVRG_MENTN_CNT
202010,CNVNC_M02001,간장·마늘치킨,557590,0.0097
202010,KOREA_M01001,간장·양념게장,557590,0.0257
202010,KOREA_M01002,갈비찜·뼈찜,557590,0.0086
202010,KOREA_M02001,갈비탕,557590,0.0114
202010,KOREA_M02002,감자탕,557590,0.0101
202010,CNVNC_M01001,감자튀김·사이드메뉴,557590,0.0261
202010,BARFD_M01001,견과류,557590,0.0002
202010,KOREA_M01003,계란찜·계란말이,557590,0.0462
202010,CNVNC_M01002,고로케·소시지빵·피자빵,557590,0.0077
202010,KOREA_M06001,고추장찌개·돼지찌개,557590,0.0369
202010,BARFD_M01002,골뱅이,557590,0.0052
202010,KOREA_M01004,곰장어 요리,557590,0.0034
202010,KOREA_M05001,곱창·막창·내장부위,557590,0.0652
202010,KOREA_M01005,공기밥·돌솥밥,557590,0.0106
202010,BARFD_M01003,과일안주,557590,0.0005
202010,KOREA_M02003,국·탕,557590,0.0263
202010,KOREA_M02004,국밥,557590,0.0103
202010,KOREA_M03001,국수·칼국수·수제비,557590,0.1166
202010,KOREA_M01006,굴요리,557590,0.0027
202010,FORGN_M01001,그라탕,557590,0.0017
202010,KOREA_M05002,기타동물,557590,0.0003
202010,CNVNC_M02002,기타시즈닝치킨,557590,0.0390
202010,SNACK_M01001,김밥·주먹밥,557590,0.0313
202010,KOREA_M06002,김치찌개·참치찌개,557590,0.0259
202010,SPECL_M01001,나베·전골,557590,0.0432
202010,KOREA_M01008,낙지·오징어·쭈꾸미 요리,557590,0.0947
202010,KOREA_M05003,닭갈비,557590,0.0202
202010,CNVNC_M01003,닭강정,557590,0.0073
202010,KOREA_M05004,닭똥집·모래집,557590,0.0024
202010,KOREA_M05005,닭발,557590,0.0159
202010,KOREA_M05006,닭볶음탕,557590,0.0159
202010,SPECL_M01002,덮밥,557590,0.0328
202010,CNVNC_M01004,도넛·꽈배기,557590,0.0133
202010,SPECL_M01003,도시락,557590,0.0027
202010,SPECL_M01004,돈가스,557590,0.0543
202010,FORGN_M01003,돈부리,557590,0.0145
202010,FORGN_M01004,동남아음식,557590,0.0050
202010,KOREA_M05007,돼지갈비·주물럭·양념고기,557590,0.0290
202010,KOREA_M05008,돼지고기 구이,557590,0.1349
202010,KOREA_M06003,된장찌개·청국장,557590,0.0583
202010,SPECL_M01005,두부요리,557590,0.0206
202010,CNVNC_M01005,떡·모찌,557590,0.0619
202010,SNACK_M01002,떡볶이,557590,0.0559
202010,DRINK_M01001,라떼류음료,557590,0.1106
202010,DRINK_M01002,라떼류커피,557590,0.0558
202010,SNACK_M01003,라면,557590,0.0640
202010,FORGN_M01006,리소토·필라프,557590,0.0243
202010,FORGN_M01007,마라탕,557590,0.0160
202010,CNVNC_M01006,마카롱·와플·파이·타르트·카페디저트,557590,0.0710
202010,ALCHL_M01003,막걸리,557590,0.0223
202010,CNVNC_M01007,만두,557590,0.0510
202010,KOREA_M02005,매운탕·해물탕,557590,0.0299
202010,ALCHL_M01004,맥주,557590,0.0117
202010,CNVNC_M01008,머핀·카스텔라,557590,0.0063
202010,FORGN_M01008,멕시칸음식,557590,0.0017
202010,SPECL_M01006,면류,557590,0.0020
202010,KOREA_M03002,물냉면,557590,0.0243
202010,KOREA_M01009,민물고기 요리,557590,0.0027
202010,KOREA_M01010,민물장어 요리,557590,0.0037
202010,SPECL_M01007,바닷가재·게요리,557590,0.0287
202010,CNVNC_M02003,반반치킨,557590,0.0019
202010,KOREA_M04001,백반,557590,0.0128
202010,KOREA_M05009,백숙·토종닭,557590,0.0049
202010,SPECL_M01010,버섯요리,557590,0.0024
202010,BARFD_M01004,번데기,557590,0.0026
202010,CNVNC_M01009,베이글·식사용빵,557590,0.0045
202010,CNVNC_M02004,베이크류치킨,557590,0.0015
202010,KOREA_M05010,보쌈,557590,0.0187
202010,KOREA_M01011,복어요리,557590,0.0018
202010,SPECL_M01011,볶음밥,557590,0.0902
202010,KOREA_M06004,부대찌개,557590,0.0093
202010,KOREA_M05011,불닭,557590,0.0074
202010,BUFFT_M01001,뷔페·식권,557590,0.0121
202010,KOREA_M03003,비빔냉면,557590,0.0172
202010,KOREA_M01012,비빔밥,557590,0.0354
202010,CNVNC_M01010,빙수,557590,0.0108
202010,FORGN_M01009,사시미,557590,0.0154
202010,KOREA_M02006,사철탕·보신탕,557590,0.0003
202010,ALCHL_M01005,사케,557590,0.0125
202010,KOREA_M05012,삼계탕,557590,0.0072
202010,KOREA_M01013,새우구이,557590,0.0350
202010,CNVNC_M01011,샌드위치,557590,0.0265
202010,FORGN_M01010,샐러드,557590,0.1307
202010,KOREA_M01014,생선구이,557590,0.0211
202010,KOREA_M06005,생선찌개,557590,0.0010
202010,KOREA_M01015,생선찜·해물찜,557590,0.0057
202010,SPECL_M01012,샤브샤브,557590,0.0183
202010,KOREA_M02007,설렁탕·곰탕,557590,0.0140
202010,KOREA_M05013,소고기구이,557590,0.0765
202010,FORGN_M01011,소바,557590,0.0111
202010,CNVNC_M01012,소보로·슈크림·브라우니·달콤한빵·과자류,557590,0.1113
202010,BARFD_M01005,소시지,557590,0.0111
202010,KOREA_M05014,수육,557590,0.0201
202010,SNACK_M01004,순대,557590,0.0242
202010,KOREA_M02008,순대국,557590,0.0078
202010,KOREA_M06006,순두부찌개,557590,0.0101
202010,DRINK_M01004,쉐이크·스무디·요거트,557590,0.0142
202010,FORGN_M01012,스시,557590,0.0702
202010,FORGN_M01013,스테이크,557590,0.0531
202010,FORGN_M01014,스튜,557590,0.0029
202010,FORGN_M01015,스프,557590,0.0164
202010,CNVNC_M01013,식빵·바게트,557590,0.0123
202010,FORGN_M01016,쌀국수,557590,0.0194
202010,KOREA_M01016,쌈밥,557590,0.0083
202010,KOREA_M01017,아구·아귀요리,557590,0.0103
202010,DRINK_M01005,아메리카노,557590,0.0349
202010,CNVNC_M01014,아이스크림,557590,0.0516
202010,CNVNC_M01015,약과·한과,557590,0.0008
202010,SPECL_M01013,양고기요리,557590,0.0080
202010,CNVNC_M02005,양념치킨,557590,0.0128
202010,KOREA_M01018,어죽,557590,0.0012
202010,DRINK_M01006,에스프레소·드립커피·냉침커피,557590,0.0128
202010,FORGN_M01017,오꼬노미야끼·타코야끼,557590,0.0031
202010,KOREA_M05015,오리로스·주물럭·훈제,557590,0.0070
202010,KOREA_M05016,오리탕·오리백숙,557590,0.0060
202010,SPECL_M01014,오므라이스,557590,0.0062
202010,BARFD_M01006,오징어·먹태·노가리류,557590,0.0015
202010,KOREA_M05017,옻닭,557590,0.0006
202010,ALCHL_M01008,와인,557590,0.0046
202010,SPECL_M01015,우동,557590,0.0424
202010,KOREA_M02009,육개장,557590,0.0075
202010,KOREA_M05018,육회,557590,0.0328
202010,BARFD_M01008,은행·꼬치구이,557590,0.0058
202010,FORGN_M01018,인도음식,557590,0.0036
202010,KOREA_M01019,전·빈대떡·부침개,557590,0.0360
202010,DRINK_M01008,전통차·허브차·과일차,557590,0.0023
202010,KOREA_M04002,정식,557590,0.0156
202010,KOREA_M05019,제육볶음·두루치기·불고기,557590,0.0542
202010,KOREA_M01020,조개구이,557590,0.0141
202010,KOREA_M05020,족발,557590,0.0058
202010,DRINK_M01009,주스·에이드,557590,0.0016
202010,KOREA_M01021,죽,557590,0.0430
202010,FORGN_M01019,중식요리,557590,0.0345
202010,SPECL_M01016,짜장면,557590,0.0196
202010,SPECL_M01017,짬뽕·짬뽕밥·짬뽕탕,557590,0.0443
202010,SNACK_M01005,쫄면,557590,0.0127
202010,KOREA_M06007,찌개,557590,0.0034
202010,CNVNC_M01017,찐빵,557590,0.0022
