BASE_YM,MENU_CODE,MENU_NM,NTT_CNT,NTT_PER_AVRG_MENTN_CNT
202303,CNVNC_M02001,간장·마늘치킨,1171764,0.0021
202303,KOREA_M01001,간장·양념게장,1171764,0.0241
202303,KOREA_M01002,갈비찜·뼈찜,1171764,0.0067
202303,KOREA_M02001,갈비탕,1171764,0.0110
202303,KOREA_M02002,감자탕,1171764,0.0109
202303,CNVNC_M01001,감자튀김·사이드메뉴,1171764,0.0254
202303,BARFD_M01001,견과류,1171764,0.0001
202303,KOREA_M01003,계란찜·계란말이,1171764,0.0464
202303,CNVNC_M01002,고로케·소시지빵·피자빵,1171764,0.0073
202303,KOREA_M06001,고추장찌개·돼지찌개,1171764,0.0415
202303,BARFD_M01002,골뱅이,1171764,0.0053
202303,KOREA_M01004,곰장어 요리,1171764,0.0028
202303,KOREA_M05001,곱창·막창·내장부위,1171764,0.0558
202303,KOREA_M01005,공기밥·돌솥밥,1171764,0.0081
202303,BARFD_M01003,과일안주,1171764,0.0006
202303,KOREA_M02003,국·탕,1171764,0.0257
202303,KOREA_M02004,국밥,1171764,0.0124
202303,KOREA_M03001,국수·칼국수·수제비,1171764,0.1166
202303,KOREA_M01006,굴요리,1171764,0.0044
202303,FORGN_M01001,그라탕,1171764,0.0017
202303,KOREA_M05002,기타동물,1171764,0.0003
202303,CNVNC_M02002,기타시즈닝치킨,1171764,0.0568
202303,SNACK_M01001,김밥·주먹밥,1171764,0.0308
202303,KOREA_M06002,김치찌개·참치찌개,1171764,0.0278
202303,SPECL_M01001,나베·전골,1171764,0.0475
202303,KOREA_M01008,낙지·오징어·쭈꾸미 요리,1171764,0.0950
202303,KOREA_M05003,닭갈비,1171764,0.0207
202303,CNVNC_M01003,닭강정,1171764,0.0066
202303,KOREA_M05004,닭똥집·모래집,1171764,0.0023
202303,KOREA_M05005,닭발,1171764,0.0138
202303,KOREA_M05006,닭볶음탕,1171764,0.0146
202303,SPECL_M01002,덮밥,1171764,0.0334
202303,CNVNC_M01004,도넛·꽈배기,1171764,0.0177
202303,SPECL_M01003,도시락,1171764,0.0023
202303,SPECL_M01004,돈가스,1171764,0.0461
202303,FORGN_M01003,돈부리,1171764,0.0161
202303,FORGN_M01004,동남아음식,1171764,0.0061
202303,KOREA_M05007,돼지갈비·주물럭·양념고기,1171764,0.0326
202303,KOREA_M05008,돼지고기 구이,1171764,0.1711
202303,KOREA_M06003,된장찌개·청국장,1171764,0.0633
202303,SPECL_M01005,두부요리,1171764,0.0234
202303,CNVNC_M01005,떡·모찌,1171764,0.0548
202303,SNACK_M01002,떡볶이,1171764,0.0475
202303,DRINK_M01001,라떼류음료,1171764,0.0972
202303,DRINK_M01002,라떼류커피,1171764,0.0355
202303,SNACK_M01003,라면,1171764,0.0720
202303,FORGN_M01006,리소토·필라프,1171764,0.0250
202303,FORGN_M01007,마라탕,1171764,0.0176
202303,CNVNC_M01006,마카롱·와플·파이·타르트·카페디저트,1171764,0.0576
202303,ALCHL_M01003,막걸리,1171764,0.0224
202303,CNVNC_M01007,만두,1171764,0.0487
202303,KOREA_M02005,매운탕·해물탕,1171764,0.0226
202303,ALCHL_M01004,맥주,1171764,0.0115
202303,CNVNC_M01008,머핀·카스텔라,1171764,0.0075
202303,FORGN_M01008,멕시칸음식,1171764,0.0027
202303,SPECL_M01006,면류,1171764,0.0041
202303,KOREA_M03002,물냉면,1171764,0.0330
202303,KOREA_M01009,민물고기 요리,1171764,0.0021
202303,KOREA_M01010,민물장어 요리,1171764,0.0051
202303,SPECL_M01007,바닷가재·게요리,1171764,0.0305
202303,CNVNC_M02003,반반치킨,1171764,0.0006
202303,KOREA_M04001,백반,1171764,0.0120
202303,KOREA_M05009,백숙·토종닭,1171764,0.0038
202303,SPECL_M01010,버섯요리,1171764,0.0012
202303,BARFD_M01004,번데기,1171764,0.0031
202303,CNVNC_M01009,베이글·식사용빵,1171764,0.0131
202303,CNVNC_M02004,베이크류치킨,1171764,0.0010
202303,KOREA_M05010,보쌈,1171764,0.0176
202303,KOREA_M01011,복어요리,1171764,0.0020
202303,SPECL_M01011,볶음밥,1171764,0.0903
202303,KOREA_M06004,부대찌개,1171764,0.0083
202303,KOREA_M05011,불닭,1171764,0.0082
202303,BUFFT_M01001,뷔페·식권,1171764,0.0131
202303,KOREA_M03003,비빔냉면,1171764,0.0125
202303,KOREA_M01012,비빔밥,1171764,0.0338
202303,CNVNC_M01010,빙수,1171764,0.0082
202303,FORGN_M01009,사시미,1171764,0.0189
202303,KOREA_M02006,사철탕·보신탕,1171764,0.0002
202303,ALCHL_M01005,사케,1171764,0.0211
202303,KOREA_M05012,삼계탕,1171764,0.0065
