BASE_YM,MENU_CODE,MENU_NM,NTT_CNT,NTT_PER_AVRG_MENTN_CNT
202306,CNVNC_M02001,간장·마늘치킨,1376274,0.0022
202306,KOREA_M01001,간장·양념게장,1376274,0.0244
202306,KOREA_M01002,갈비찜·뼈찜,1376274,0.0069
202306,KOREA_M02001,갈비탕,1376274,0.0117
202306,KOREA_M02002,감자탕,1376274,0.0088
202306,CNVNC_M01001,감자튀김·사이드메뉴,1376274,0.0219
202306,BARFD_M01001,견과류,1376274,0.0001
202306,KOREA_M01003,계란찜·계란말이,1376274,0.0417
202306,CNVNC_M01002,고로케·소시지빵·피자빵,1376274,0.0065
202306,KOREA_M06001,고추장찌개·돼지찌개,1376274,0.0394
202306,BARFD_M01002,골뱅이,1376274,0.0054
202306,KOREA_M01004,곰장어 요리,1376274,0.0030
202306,KOREA_M05001,곱창·막창·내장부위,1376274,0.0539
202306,KOREA_M01005,공기밥·돌솥밥,1376274,0.0066
202306,BARFD_M01003,과일안주,1376274,0.0012
202306,KOREA_M02003,국·탕,1376274,0.0220
202306,KOREA_M02004,국밥,1376274,0.0104
202306,KOREA_M03001,국수·칼국수·수제비,1376274,0.1165
202306,KOREA_M01006,굴요리,1376274,0.0025
202306,FORGN_M01001,그라탕,1376274,0.0015
202306,KOREA_M05002,기타동물,1376274,0.0002
202306,CNVNC_M02002,기타시즈닝치킨,1376274,0.0532
202306,SNACK_M01001,김밥·주먹밥,1376274,0.0281
202306,KOREA_M06002,김치찌개·참치찌개,1376274,0.0258
202306,SPECL_M01001,나베·전골,1376274,0.0469
202306,KOREA_M01008,낙지·오징어·쭈꾸미 요리,1376274,0.0906
202306,KOREA_M05003,닭갈비,1376274,0.0221
202306,CNVNC_M01003,닭강정,1376274,0.0066
202306,KOREA_M05004,닭똥집·모래집,1376274,0.0020
202306,KOREA_M05005,닭발,1376274,0.0131
202306,KOREA_M05006,닭볶음탕,1376274,0.0156
202306,SPECL_M01002,덮밥,1376274,0.0349
202306,CNVNC_M01004,도넛·꽈배기,1376274,0.0140
202306,SPECL_M01003,도시락,1376274,0.0022
202306,SPECL_M01004,돈가스,1376274,0.0448
202306,FORGN_M01003,돈부리,1376274,0.0153
202306,FORGN_M01004,동남아음식,1376274,0.0071
202306,KOREA_M05007,돼지갈비·주물럭·양념고기,1376274,0.0324
202306,KOREA_M05008,돼지고기 구이,1376274,0.1672
202306,KOREA_M06003,된장찌개·청국장,1376274,0.0597
202306,SPECL_M01005,두부요리,1376274,0.0207
202306,CNVNC_M01005,떡·모찌,1376274,0.0470
202306,SNACK_M01002,떡볶이,1376274,0.0412
202306,DRINK_M01001,라떼류음료,1376274,0.0811
202306,DRINK_M01002,라떼류커피,1376274,0.0282
202306,SNACK_M01003,라면,1376274,0.0639
202306,FORGN_M01006,리소토·필라프,1376274,0.0231
202306,FORGN_M01007,마라탕,1376274,0.0158
202306,CNVNC_M01006,마카롱·와플·파이·타르트·카페디저트,1376274,0.0481
202306,ALCHL_M01003,막걸리,1376274,0.0222
202306,CNVNC_M01007,만두,1376274,0.0475
202306,KOREA_M02005,매운탕·해물탕,1376274,0.0221
202306,ALCHL_M01004,맥주,1376274,0.0118
202306,CNVNC_M01008,머핀·카스텔라,1376274,0.0060
202306,FORGN_M01008,멕시칸음식,1376274,0.0026
202306,SPECL_M01006,면류,1376274,0.0035
202306,KOREA_M03002,물냉면,1376274,0.0450
202306,KOREA_M01009,민물고기 요리,1376274,0.0020
202306,KOREA_M01010,민물장어 요리,1376274,0.0049
202306,SPECL_M01007,바닷가재·게요리,1376274,0.0311
202306,CNVNC_M02003,반반치킨,1376274,0.0006
