BASE_YM,MENU_CODE,MENU_NM,NTT_CNT,NTT_PER_AVRG_MENTN_CNT
202209,CNVNC_M02001,간장·마늘치킨,774082,0.0072
202209,KOREA_M01001,간장·양념게장,774082,0.0245
202209,KOREA_M01002,갈비찜·뼈찜,774082,0.0084
202209,KOREA_M02001,갈비탕,774082,0.0111
202209,KOREA_M02002,감자탕,774082,0.0108
202209,CNVNC_M01001,감자튀김·사이드메뉴,774082,0.0283
202209,BARFD_M01001,견과류,774082,0.0002
202209,KOREA_M01003,계란찜·계란말이,774082,0.0432
202209,CNVNC_M01002,고로케·소시지빵·피자빵,774082,0.0074
202209,KOREA_M06001,고추장찌개·돼지찌개,774082,0.0359
202209,BARFD_M01002,골뱅이,774082,0.0057
202209,KOREA_M01004,곰장어 요리,774082,0.0038
202209,KOREA_M05001,곱창·막창·내장부위,774082,0.0605
202209,KOREA_M01005,공기밥·돌솥밥,774082,0.0077
202209,BARFD_M01003,과일안주,774082,0.0011
202209,KOREA_M02003,국·탕,774082,0.0256
202209,KOREA_M02004,국밥,774082,0.0126
202209,KOREA_M03001,국수·칼국수·수제비,774082,0.1120
202209,KOREA_M01006,굴요리,774082,0.0018
202209,FORGN_M01001,그라탕,774082,0.0018
202209,KOREA_M05002,기타동물,774082,0.0003
202209,CNVNC_M02002,기타시즈닝치킨,774082,0.0389
202209,SNACK_M01001,김밥·주먹밥,774082,0.0378
202209,KOREA_M06002,김치찌개·참치찌개,774082,0.0254
202209,SPECL_M01001,나베·전골,774082,0.0413
202209,KOREA_M01008,낙지·오징어·쭈꾸미 요리,774082,0.0862
202209,KOREA_M05003,닭갈비,774082,0.0212
202209,CNVNC_M01003,닭강정,774082,0.0083
202209,KOREA_M05004,닭똥집·모래집,774082,0.0024
202209,KOREA_M05005,닭발,774082,0.0156
202209,KOREA_M05006,닭볶음탕,774082,0.0143
202209,SPECL_M01002,덮밥,774082,0.0356
202209,CNVNC_M01004,도넛·꽈배기,774082,0.0215
202209,SPECL_M01003,도시락,774082,0.0025
202209,SPECL_M01004,돈가스,774082,0.0504
202209,FORGN_M01003,돈부리,774082,0.0153
202209,FORGN_M01004,동남아음식,774082,0.0068
202209,KOREA_M05007,돼지갈비·주물럭·양념고기,774082,0.0286
202209,KOREA_M05008,돼지고기 구이,774082,0.1443
202209,KOREA_M06003,된장찌개·청국장,774082,0.0553
202209,SPECL_M01005,두부요리,774082,0.0216
202209,CNVNC_M01005,떡·모찌,774082,0.0558
202209,SNACK_M01002,떡볶이,774082,0.0529
202209,DRINK_M01001,라떼류음료,774082,0.0585
202209,DRINK_M01002,라떼류커피,774082,0.0632
202209,SNACK_M01003,라면,774082,0.0740
202209,FORGN_M01006,리소토·필라프,774082,0.0243
202209,FORGN_M01007,마라탕,774082,0.0240
202209,CNVNC_M01006,마카롱·와플·파이·타르트·카페디저트,774082,0.0568
202209,ALCHL_M01003,막걸리,774082,0.0262
202209,CNVNC_M01007,만두,774082,0.0526
202209,KOREA_M02005,매운탕·해물탕,774082,0.0219
202209,ALCHL_M01004,맥주,774082,0.0116
202209,CNVNC_M01008,머핀·카스텔라,774082,0.0077
202209,FORGN_M01008,멕시칸음식,774082,0.0022
202209,SPECL_M01006,면류,774082,0.0041
202209,KOREA_M03002,물냉면,774082,0.0279
202209,KOREA_M01009,민물고기 요리,774082,0.0028
202209,KOREA_M01010,민물장어 요리,774082,0.0047
202209,SPECL_M01007,바닷가재·게요리,774082,0.0242
202209,CNVNC_M02003,반반치킨,774082,0.0015
202209,KOREA_M04001,백반,774082,0.0130
202209,KOREA_M05009,백숙·토종닭,774082,0.0051
202209,SPECL_M01010,버섯요리,774082,0.0019
202209,BARFD_M01004,번데기,774082,0.0030
202209,CNVNC_M01009,베이글·식사용빵,774082,0.0128
202209,CNVNC_M02004,베이크류치킨,774082,0.0017
202209,KOREA_M05010,보쌈,774082,0.0175
202209,KOREA_M01011,복어요리,774082,0.0019
202209,SPECL_M01011,볶음밥,774082,0.0890
202209,KOREA_M06004,부대찌개,774082,0.0085
202209,KOREA_M05011,불닭,774082,0.0100
202209,BUFFT_M01001,뷔페·식권,774082,0.0129
202209,KOREA_M03003,비빔냉면,774082,0.0200
202209,KOREA_M01012,비빔밥,774082,0.0375
202209,CNVNC_M01010,빙수,774082,0.0209
202209,FORGN_M01009,사시미,774082,0.0167
202209,KOREA_M02006,사철탕·보신탕,774082,0.0002
202209,ALCHL_M01005,사케,774082,0.0169
202209,KOREA_M05012,삼계탕,774082,0.0069
202209,KOREA_M01013,새우구이,774082,0.0345
202209,CNVNC_M01011,샌드위치,774082,0.0344
202209,FORGN_M01010,샐러드,774082,0.1062
202209,KOREA_M01014,생선구이,774082,0.0213
202209,KOREA_M06005,생선찌개,774082,0.0008
202209,KOREA_M01015,생선찜·해물찜,774082,0.0033
202209,SPECL_M01012,샤브샤브,774082,0.0180
202209,KOREA_M02007,설렁탕·곰탕,774082,0.0162
202209,KOREA_M05013,소고기구이,774082,0.0714
202209,FORGN_M01011,소바,774082,0.0181
202209,CNVNC_M01012,소보로·슈크림·브라우니·달콤한빵·과자류,774082,0.1255
202209,BARFD_M01005,소시지,774082,0.0113
202209,KOREA_M05014,수육,774082,0.0263
202209,SNACK_M01004,순대,774082,0.0246
202209,KOREA_M02008,순대국,774082,0.0089
