BASE_YM,MENU_CODE,MENU_NM,NTT_CNT,NTT_PER_AVRG_MENTN_CNT
202310,CNVNC_M02001,간장·마늘치킨,1509916,0.0018
202310,KOREA_M01001,간장·양념게장,1509916,0.0258
202310,KOREA_M01002,갈비찜·뼈찜,1509916,0.0074
202310,KOREA_M02001,갈비탕,1509916,0.0115
202310,KOREA_M02002,감자탕,1509916,0.0095
202310,CNVNC_M01001,감자튀김·사이드메뉴,1509916,0.0208
202310,BARFD_M01001,견과류,1509916,0.0001
202310,KOREA_M01003,계란찜·계란말이,1509916,0.0448
202310,CNVNC_M01002,고로케·소시지빵·피자빵,1509916,0.0048
202310,KOREA_M06001,고추장찌개·돼지찌개,1509916,0.0401
202310,BARFD_M01002,골뱅이,1509916,0.0047
202310,KOREA_M01004,곰장어 요리,1509916,0.0029
202310,KOREA_M05001,곱창·막창·내장부위,1509916,0.0508
202310,KOREA_M01005,공기밥·돌솥밥,1509916,0.0069
202310,BARFD_M01003,과일안주,1509916,0.0007
202310,KOREA_M02003,국·탕,1509916,0.0208
202310,KOREA_M02004,국밥,1509916,0.0099
202310,KOREA_M03001,국수·칼국수·수제비,1509916,0.1124
202310,KOREA_M01006,굴요리,1509916,0.0028
202310,FORGN_M01001,그라탕,1509916,0.0014
202310,KOREA_M05002,기타동물,1509916,0.0003
202310,CNVNC_M02002,기타시즈닝치킨,1509916,0.0494
202310,SNACK_M01001,김밥·주먹밥,1509916,0.0255
202310,KOREA_M06002,김치찌개·참치찌개,1509916,0.0288
202310,SPECL_M01001,나베·전골,1509916,0.0495
202310,KOREA_M01008,낙지·오징어·쭈꾸미 요리,1509916,0.0863
202310,KOREA_M05003,닭갈비,1509916,0.0216
202310,CNVNC_M01003,닭강정,1509916,0.0062
202310,KOREA_M05004,닭똥집·모래집,1509916,0.0019
202310,KOREA_M05005,닭발,1509916,0.0131
202310,KOREA_M05006,닭볶음탕,1509916,0.0144
202310,SPECL_M01002,덮밥,1509916,0.0340
202310,CNVNC_M01004,도넛·꽈배기,1509916,0.0124
202310,SPECL_M01003,도시락,1509916,0.0018
202310,SPECL_M01004,돈가스,1509916,0.0453
202310,FORGN_M01003,돈부리,1509916,0.0151
202310,FORGN_M01004,동남아음식,1509916,0.0058
202310,KOREA_M05007,돼지갈비·주물럭·양념고기,1509916,0.0322
202310,KOREA_M05008,돼지고기 구이,1509916,0.1622
202310,KOREA_M06003,된장찌개·청국장,1509916,0.0615
202310,SPECL_M01005,두부요리,1509916,0.0202
202310,CNVNC_M01005,떡·모찌,1509916,0.0452
202310,SNACK_M01002,떡볶이,1509916,0.0397
202310,DRINK_M01001,라떼류음료,1509916,0.0726
202310,DRINK_M01002,라떼류커피,1509916,0.0262
202310,SNACK_M01003,라면,1509916,0.0619
202310,FORGN_M01006,리소토·필라프,1509916,0.0233
202310,FORGN_M01007,마라탕,1509916,0.0151
202310,CNVNC_M01006,마카롱·와플·파이·타르트·카페디저트,1509916,0.0449
202310,ALCHL_M01003,막걸리,1509916,0.0220
202310,CNVNC_M01007,만두,1509916,0.0398
202310,KOREA_M02005,매운탕·해물탕,1509916,0.0211
202310,ALCHL_M01004,맥주,1509916,0.0107
202310,CNVNC_M01008,머핀·카스텔라,1509916,0.0059
202310,FORGN_M01008,멕시칸음식,1509916,0.0026
202310,SPECL_M01006,면류,1509916,0.0031
202310,KOREA_M03002,물냉면,1509916,0.0330
202310,KOREA_M01009,민물고기 요리,1509916,0.0021
202310,KOREA_M01010,민물장어 요리,1509916,0.0048
202310,SPECL_M01007,바닷가재·게요리,1509916,0.0298
202310,CNVNC_M02003,반반치킨,1509916,0.0005
202310,KOREA_M04001,백반,1509916,0.0119
202310,KOREA_M05009,백숙·토종닭,1509916,0.0043
202310,SPECL_M01010,버섯요리,1509916,0.0017
