BASE_YM,MENU_CODE,MENU_NM,NTT_CNT,NTT_PER_AVRG_MENTN_CNT
202105,CNVNC_M02001,간장·마늘치킨,611631,0.0074
202105,KOREA_M01001,간장·양념게장,611631,0.0220
202105,KOREA_M01002,갈비찜·뼈찜,611631,0.0077
202105,KOREA_M02001,갈비탕,611631,0.0118
202105,KOREA_M02002,감자탕,611631,0.0090
202105,CNVNC_M01001,감자튀김·사이드메뉴,611631,0.0254
202105,BARFD_M01001,견과류,611631,0.0002
202105,KOREA_M01003,계란찜·계란말이,611631,0.0397
202105,CNVNC_M01002,고로케·소시지빵·피자빵,611631,0.0080
202105,KOREA_M06001,고추장찌개·돼지찌개,611631,0.0325
202105,BARFD_M01002,골뱅이,611631,0.0048
202105,KOREA_M01004,곰장어 요리,611631,0.0034
202105,KOREA_M05001,곱창·막창·내장부위,611631,0.0563
202105,KOREA_M01005,공기밥·돌솥밥,611631,0.0090
202105,BARFD_M01003,과일안주,611631,0.0006
202105,KOREA_M02003,국·탕,611631,0.0236
202105,KOREA_M02004,국밥,611631,0.0103
202105,KOREA_M03001,국수·칼국수·수제비,611631,0.1170
202105,KOREA_M01006,굴요리,611631,0.0015
202105,FORGN_M01001,그라탕,611631,0.0018
202105,KOREA_M05002,기타동물,611631,0.0002
202105,CNVNC_M02002,기타시즈닝치킨,611631,0.0372
202105,SNACK_M01001,김밥·주먹밥,611631,0.0348
202105,KOREA_M06002,김치찌개·참치찌개,611631,0.0225
202105,SPECL_M01001,나베·전골,611631,0.0369
202105,KOREA_M01008,낙지·오징어·쭈꾸미 요리,611631,0.0867
202105,KOREA_M05003,닭갈비,611631,0.0180
202105,CNVNC_M01003,닭강정,611631,0.0074
202105,KOREA_M05004,닭똥집·모래집,611631,0.0022
202105,KOREA_M05005,닭발,611631,0.0143
202105,KOREA_M05006,닭볶음탕,611631,0.0147
202105,SPECL_M01002,덮밥,611631,0.0334
202105,CNVNC_M01004,도넛·꽈배기,611631,0.0186
202105,SPECL_M01003,도시락,611631,0.0031
202105,SPECL_M01004,돈가스,611631,0.0544
202105,FORGN_M01003,돈부리,611631,0.0161
202105,FORGN_M01004,동남아음식,611631,0.0053
202105,KOREA_M05007,돼지갈비·주물럭·양념고기,611631,0.0243
202105,KOREA_M05008,돼지고기 구이,611631,0.1120
202105,KOREA_M06003,된장찌개·청국장,611631,0.0526
202105,SPECL_M01005,두부요리,611631,0.0193
202105,CNVNC_M01005,떡·모찌,611631,0.0634
202105,SNACK_M01002,떡볶이,611631,0.0627
202105,DRINK_M01001,라떼류음료,611631,0.0893
202105,DRINK_M01002,라떼류커피,611631,0.0613
202105,SNACK_M01003,라면,611631,0.0632
202105,FORGN_M01006,리소토·필라프,611631,0.0255
202105,FORGN_M01007,마라탕,611631,0.0174
202105,CNVNC_M01006,마카롱·와플·파이·타르트·카페디저트,611631,0.0716
202105,ALCHL_M01003,막걸리,611631,0.0261
202105,CNVNC_M01007,만두,611631,0.0547
202105,KOREA_M02005,매운탕·해물탕,611631,0.0239
202105,ALCHL_M01004,맥주,611631,0.0106
202105,CNVNC_M01008,머핀·카스텔라,611631,0.0080
202105,FORGN_M01008,멕시칸음식,611631,0.0015
202105,SPECL_M01006,면류,611631,0.0026
202105,KOREA_M03002,물냉면,611631,0.0294
202105,KOREA_M01009,민물고기 요리,611631,0.0030
202105,KOREA_M01010,민물장어 요리,611631,0.0044
202105,SPECL_M01007,바닷가재·게요리,611631,0.0234
202105,CNVNC_M02003,반반치킨,611631,0.0016
202105,KOREA_M04001,백반,611631,0.0116
202105,KOREA_M05009,백숙·토종닭,611631,0.0054
202105,SPECL_M01010,버섯요리,611631,0.0016
202105,BARFD_M01004,번데기,611631,0.0022
202105,CNVNC_M01009,베이글·식사용빵,611631,0.0066
202105,CNVNC_M02004,베이크류치킨,611631,0.0016
202105,KOREA_M05010,보쌈,611631,0.0172
202105,KOREA_M01011,복어요리,611631,0.0019
202105,SPECL_M01011,볶음밥,611631,0.0862
202105,KOREA_M06004,부대찌개,611631,0.0090
202105,KOREA_M05011,불닭,611631,0.0075
202105,BUFFT_M01001,뷔페·식권,611631,0.0118
202105,KOREA_M03003,비빔냉면,611631,0.0235
202105,KOREA_M01012,비빔밥,611631,0.0330
202105,CNVNC_M01010,빙수,611631,0.0124
202105,FORGN_M01009,사시미,611631,0.0148
