BASE_YM,MENU_CODE,MENU_NM,NTT_CNT,NTT_PER_AVRG_MENTN_CNT
202211,CNVNC_M02001,간장·마늘치킨,638989,0.0080
202211,KOREA_M01001,간장·양념게장,638989,0.0231
202211,KOREA_M01002,갈비찜·뼈찜,638989,0.0070
202211,KOREA_M02001,갈비탕,638989,0.0110
202211,KOREA_M02002,감자탕,638989,0.0115
202211,CNVNC_M01001,감자튀김·사이드메뉴,638989,0.0262
202211,BARFD_M01001,견과류,638989,0.0002
202211,KOREA_M01003,계란찜·계란말이,638989,0.0458
202211,CNVNC_M01002,고로케·소시지빵·피자빵,638989,0.0077
202211,KOREA_M06001,고추장찌개·돼지찌개,638989,0.0374
202211,BARFD_M01002,골뱅이,638989,0.0057
202211,KOREA_M01004,곰장어 요리,638989,0.0036
202211,KOREA_M05001,곱창·막창·내장부위,638989,0.0602
202211,KOREA_M01005,공기밥·돌솥밥,638989,0.0074
202211,BARFD_M01003,과일안주,638989,0.0007
202211,KOREA_M02003,국·탕,638989,0.0268
202211,KOREA_M02004,국밥,638989,0.0133
202211,KOREA_M03001,국수·칼국수·수제비,638989,0.1192
202211,KOREA_M01006,굴요리,638989,0.0073
202211,FORGN_M01001,그라탕,638989,0.0018
202211,KOREA_M05002,기타동물,638989,0.0003
202211,CNVNC_M02002,기타시즈닝치킨,638989,0.0418
202211,SNACK_M01001,김밥·주먹밥,638989,0.0357
202211,KOREA_M06002,김치찌개·참치찌개,638989,0.0276
202211,SPECL_M01001,나베·전골,638989,0.0449
202211,KOREA_M01008,낙지·오징어·쭈꾸미 요리,638989,0.0927
202211,KOREA_M05003,닭갈비,638989,0.0214
202211,CNVNC_M01003,닭강정,638989,0.0076
202211,KOREA_M05004,닭똥집·모래집,638989,0.0024
202211,KOREA_M05005,닭발,638989,0.0153
202211,KOREA_M05006,닭볶음탕,638989,0.0155
202211,SPECL_M01002,덮밥,638989,0.0344
202211,CNVNC_M01004,도넛·꽈배기,638989,0.0208
202211,SPECL_M01003,도시락,638989,0.0027
202211,SPECL_M01004,돈가스,638989,0.0498
202211,FORGN_M01003,돈부리,638989,0.0169
202211,FORGN_M01004,동남아음식,638989,0.0058
202211,KOREA_M05007,돼지갈비·주물럭·양념고기,638989,0.0274
202211,KOREA_M05008,돼지고기 구이,638989,0.1432
202211,KOREA_M06003,된장찌개·청국장,638989,0.0587
202211,SPECL_M01005,두부요리,638989,0.0225
202211,CNVNC_M01005,떡·모찌,638989,0.0576
202211,SNACK_M01002,떡볶이,638989,0.0533
202211,DRINK_M01001,라떼류음료,638989,0.0615
202211,DRINK_M01002,라떼류커피,638989,0.0587
202211,SNACK_M01003,라면,638989,0.0751
202211,FORGN_M01006,리소토·필라프,638989,0.0243
202211,FORGN_M01007,마라탕,638989,0.0224
202211,CNVNC_M01006,마카롱·와플·파이·타르트·카페디저트,638989,0.0567
202211,ALCHL_M01003,막걸리,638989,0.0248
202211,CNVNC_M01007,만두,638989,0.0520
202211,KOREA_M02005,매운탕·해물탕,638989,0.0229
202211,ALCHL_M01004,맥주,638989,0.0109
202211,CNVNC_M01008,머핀·카스텔라,638989,0.0077
202211,FORGN_M01008,멕시칸음식,638989,0.0022
202211,SPECL_M01006,면류,638989,0.0046
202211,KOREA_M03002,물냉면,638989,0.0230
202211,KOREA_M01009,민물고기 요리,638989,0.0029
202211,KOREA_M01010,민물장어 요리,638989,0.0044
202211,SPECL_M01007,바닷가재·게요리,638989,0.0258
202211,CNVNC_M02003,반반치킨,638989,0.0017
202211,KOREA_M04001,백반,638989,0.0127
202211,KOREA_M05009,백숙·토종닭,638989,0.0042
202211,SPECL_M01010,버섯요리,638989,0.0019
202211,BARFD_M01004,번데기,638989,0.0030
202211,CNVNC_M01009,베이글·식사용빵,638989,0.0138
202211,CNVNC_M02004,베이크류치킨,638989,0.0018
202211,KOREA_M05010,보쌈,638989,0.0227
202211,KOREA_M01011,복어요리,638989,0.0022
202211,SPECL_M01011,볶음밥,638989,0.0916
202211,KOREA_M06004,부대찌개,638989,0.0094
202211,KOREA_M05011,불닭,638989,0.0092
202211,BUFFT_M01001,뷔페·식권,638989,0.0139
202211,KOREA_M03003,비빔냉면,638989,0.0156
202211,KOREA_M01012,비빔밥,638989,0.0337
202211,CNVNC_M01010,빙수,638989,0.0095
202211,FORGN_M01009,사시미,638989,0.0179
202211,KOREA_M02006,사철탕·보신탕,638989,0.0002
202211,ALCHL_M01005,사케,638989,0.0187
202211,KOREA_M05012,삼계탕,638989,0.0062
202211,KOREA_M01013,새우구이,638989,0.0300
202211,CNVNC_M01011,샌드위치,638989,0.0328
202211,FORGN_M01010,샐러드,638989,0.1131
202211,KOREA_M01014,생선구이,638989,0.0212
202211,KOREA_M06005,생선찌개,638989,0.0009
202211,KOREA_M01015,생선찜·해물찜,638989,0.0038
202211,SPECL_M01012,샤브샤브,638989,0.0205
202211,KOREA_M02007,설렁탕·곰탕,638989,0.0168
202211,KOREA_M05013,소고기구이,638989,0.0781
202211,FORGN_M01011,소바,638989,0.0183
202211,CNVNC_M01012,소보로·슈크림·브라우니·달콤한빵·과자류,638989,0.1164
202211,BARFD_M01005,소시지,638989,0.0120
202211,KOREA_M05014,수육,638989,0.0284
202211,SNACK_M01004,순대,638989,0.0272
202211,KOREA_M02008,순대국,638989,0.0092
202211,KOREA_M06006,순두부찌개,638989,0.0123
202211,DRINK_M01004,쉐이크·스무디·요거트,638989,0.0079
202211,FORGN_M01012,스시,638989,0.0705
202211,FORGN_M01013,스테이크,638989,0.0535
202211,FORGN_M01014,스튜,638989,0.0035
202211,FORGN_M01015,스프,638989,0.0198
202211,CNVNC_M01013,식빵·바게트,638989,0.0130
202211,FORGN_M01016,쌀국수,638989,0.0244
202211,KOREA_M01016,쌈밥,638989,0.0092
202211,KOREA_M01017,아구·아귀요리,638989,0.0102
202211,DRINK_M01005,아메리카노,638989,0.0162
202211,CNVNC_M01014,아이스크림,638989,0.0532
202211,CNVNC_M01015,약과·한과,638989,0.0008
202211,SPECL_M01013,양고기요리,638989,0.0086
202211,CNVNC_M02005,양념치킨,638989,0.0114
202211,KOREA_M01018,어죽,638989,0.0012
202211,DRINK_M01006,에스프레소·드립커피·냉침커피,638989,0.0157
202211,FORGN_M01017,오꼬노미야끼·타코야끼,638989,0.0095
202211,KOREA_M05015,오리로스·주물럭·훈제,638989,0.0071
202211,KOREA_M05016,오리탕·오리백숙,638989,0.0052
202211,SPECL_M01014,오므라이스,638989,0.0042
202211,BARFD_M01006,오징어·먹태·노가리류,638989,0.0016
202211,KOREA_M05017,옻닭,638989,0.0005
202211,ALCHL_M01008,와인,638989,0.0074
202211,SPECL_M01015,우동,638989,0.0487
202211,KOREA_M02009,육개장,638989,0.0088
202211,KOREA_M05018,육회,638989,0.0407
202211,BARFD_M01008,은행·꼬치구이,638989,0.0088
202211,FORGN_M01018,인도음식,638989,0.0036
202211,KOREA_M01019,전·빈대떡·부침개,638989,0.0341
202211,DRINK_M01008,전통차·허브차·과일차,638989,0.0019
202211,KOREA_M04002,정식,638989,0.0138
202211,KOREA_M05019,제육볶음·두루치기·불고기,638989,0.0536
202211,KOREA_M01020,조개구이,638989,0.0150
202211,KOREA_M05020,족발,638989,0.0041
202211,DRINK_M01009,주스·에이드,638989,0.0016
202211,KOREA_M01021,죽,638989,0.0379
202211,FORGN_M01019,중식요리,638989,0.0341
202211,SPECL_M01016,짜장면,638989,0.0183
202211,SPECL_M01017,짬뽕·짬뽕밥·짬뽕탕,638989,0.0394
202211,SNACK_M01005,쫄면,638989,0.0110
202211,KOREA_M06007,찌개,638989,0.0034
202211,CNVNC_M01017,찐빵,638989,0.0029
202211,KOREA_M05021,찜닭,638989,0.0073
202211,SPECL_M01018,참치회,638989,0.0026
202211,SPECL_M01019,채식·비건 요리,638989,0.0075
202211,KOREA_M02010,추어탕,638989,0.0044
202211,SPECL_M01020,치킨가스·생선가스·규가스,638989,0.0051
202211,SPECL_M01021,카레,638989,0.0241
202211,ALCHL_M01010,칵테일,638989,0.0069
202211,DRINK_M01010,커피,638989,0.0311
202211,CNVNC_M01018,케이크,638989,0.0734
202211,CNVNC_M01019,쿠키,638989,0.0357
202211,FORGN_M01020,타다끼,638989,0.0024
202211,BARFD_M01009,타코와사비·고노와다,638989,0.0022
202211,FORGN_M01021,탕수육·꿔바로우,638989,0.0243
202211,FORGN_M01022,터키음식,638989,0.0010
202211,CNVNC_M01020,토스트,638989,0.0147
202211,SPECL_M01022,튀김,638989,0.0922
202211,FORGN_M01023,파스타,638989,0.0737
202211,CNVNC_M02006,프라이드치킨,638989,0.0082
202211,FORGN_M01024,피자,638989,0.0331
