BASE_YM,MENU_CODE,MENU_NM,NTT_CNT,NTT_PER_AVRG_MENTN_CNT
202207,CNVNC_M02001,간장·마늘치킨,863273,0.0085
202207,KOREA_M01001,간장·양념게장,863273,0.0215
202207,KOREA_M01002,갈비찜·뼈찜,863273,0.0074
202207,KOREA_M02001,갈비탕,863273,0.0114
202207,KOREA_M02002,감자탕,863273,0.0114
202207,CNVNC_M01001,감자튀김·사이드메뉴,863273,0.0288
202207,BARFD_M01001,견과류,863273,0.0002
202207,KOREA_M01003,계란찜·계란말이,863273,0.0419
202207,CNVNC_M01002,고로케·소시지빵·피자빵,863273,0.0080
202207,KOREA_M06001,고추장찌개·돼지찌개,863273,0.0338
202207,BARFD_M01002,골뱅이,863273,0.0065
202207,KOREA_M01004,곰장어 요리,863273,0.0038
202207,KOREA_M05001,곱창·막창·내장부위,863273,0.0586
202207,KOREA_M01005,공기밥·돌솥밥,863273,0.0076
202207,BARFD_M01003,과일안주,863273,0.0025
202207,KOREA_M02003,국·탕,863273,0.0241
202207,KOREA_M02004,국밥,863273,0.0124
202207,KOREA_M03001,국수·칼국수·수제비,863273,0.1180
202207,KOREA_M01006,굴요리,863273,0.0011
202207,FORGN_M01001,그라탕,863273,0.0019
202207,KOREA_M05002,기타동물,863273,0.0004
202207,CNVNC_M02002,기타시즈닝치킨,863273,0.0479
202207,SNACK_M01001,김밥·주먹밥,863273,0.0400
202207,KOREA_M06002,김치찌개·참치찌개,863273,0.0250
202207,SPECL_M01001,나베·전골,863273,0.0404
202207,KOREA_M01008,낙지·오징어·쭈꾸미 요리,863273,0.0932
202207,KOREA_M05003,닭갈비,863273,0.0220
202207,CNVNC_M01003,닭강정,863273,0.0088
202207,KOREA_M05004,닭똥집·모래집,863273,0.0028
202207,KOREA_M05005,닭발,863273,0.0179
202207,KOREA_M05006,닭볶음탕,863273,0.0161
202207,SPECL_M01002,덮밥,863273,0.0345
202207,CNVNC_M01004,도넛·꽈배기,863273,0.0234
202207,SPECL_M01003,도시락,863273,0.0029
202207,SPECL_M01004,돈가스,863273,0.0552
202207,FORGN_M01003,돈부리,863273,0.0164
202207,FORGN_M01004,동남아음식,863273,0.0088
202207,KOREA_M05007,돼지갈비·주물럭·양념고기,863273,0.0279
202207,KOREA_M05008,돼지고기 구이,863273,0.1352
202207,KOREA_M06003,된장찌개·청국장,863273,0.0543
202207,SPECL_M01005,두부요리,863273,0.0204
202207,CNVNC_M01005,떡·모찌,863273,0.0577
202207,SNACK_M01002,떡볶이,863273,0.0592
202207,DRINK_M01001,라떼류음료,863273,0.0685
202207,DRINK_M01002,라떼류커피,863273,0.0630
202207,SNACK_M01003,라면,863273,0.0768
202207,FORGN_M01006,리소토·필라프,863273,0.0246
202207,FORGN_M01007,마라탕,863273,0.0251
202207,CNVNC_M01006,마카롱·와플·파이·타르트·카페디저트,863273,0.0663
202207,ALCHL_M01003,막걸리,863273,0.0293
202207,CNVNC_M01007,만두,863273,0.0566
202207,KOREA_M02005,매운탕·해물탕,863273,0.0210
202207,ALCHL_M01004,맥주,863273,0.0132
202207,CNVNC_M01008,머핀·카스텔라,863273,0.0078
202207,FORGN_M01008,멕시칸음식,863273,0.0024
202207,SPECL_M01006,면류,863273,0.0035
202207,KOREA_M03002,물냉면,863273,0.0374
202207,KOREA_M01009,민물고기 요리,863273,0.0025
202207,KOREA_M01010,민물장어 요리,863273,0.0051
202207,SPECL_M01007,바닷가재·게요리,863273,0.0233
202207,CNVNC_M02003,반반치킨,863273,0.0020
202207,KOREA_M04001,백반,863273,0.0128
202207,KOREA_M05009,백숙·토종닭,863273,0.0085
202207,SPECL_M01010,버섯요리,863273,0.0016
202207,BARFD_M01004,번데기,863273,0.0025
202207,CNVNC_M01009,베이글·식사용빵,863273,0.0131
202207,CNVNC_M02004,베이크류치킨,863273,0.0020
202207,KOREA_M05010,보쌈,863273,0.0185
202207,KOREA_M01011,복어요리,863273,0.0019
202207,SPECL_M01011,볶음밥,863273,0.0908
202207,KOREA_M06004,부대찌개,863273,0.0088
202207,KOREA_M05011,불닭,863273,0.0101
