BASE_YM,MENU_CODE,MENU_NM,NTT_CNT,NTT_PER_AVRG_MENTN_CNT
202107,CNVNC_M02001,간장·마늘치킨,570270,0.0088
202107,KOREA_M01001,간장·양념게장,570270,0.0221
202107,KOREA_M01002,갈비찜·뼈찜,570270,0.0078
202107,KOREA_M02001,갈비탕,570270,0.0123
202107,KOREA_M02002,감자탕,570270,0.0089
202107,CNVNC_M01001,감자튀김·사이드메뉴,570270,0.0276
202107,BARFD_M01001,견과류,570270,0.0002
202107,KOREA_M01003,계란찜·계란말이,570270,0.0396
202107,CNVNC_M01002,고로케·소시지빵·피자빵,570270,0.0085
202107,KOREA_M06001,고추장찌개·돼지찌개,570270,0.0335
202107,BARFD_M01002,골뱅이,570270,0.0051
202107,KOREA_M01004,곰장어 요리,570270,0.0034
202107,KOREA_M05001,곱창·막창·내장부위,570270,0.0576
202107,KOREA_M01005,공기밥·돌솥밥,570270,0.0091
202107,BARFD_M01003,과일안주,570270,0.0014
202107,KOREA_M02003,국·탕,570270,0.0247
202107,KOREA_M02004,국밥,570270,0.0107
202107,KOREA_M03001,국수·칼국수·수제비,570270,0.1160
202107,KOREA_M01006,굴요리,570270,0.0011
202107,FORGN_M01001,그라탕,570270,0.0016
202107,KOREA_M05002,기타동물,570270,0.0003
202107,CNVNC_M02002,기타시즈닝치킨,570270,0.0433
202107,SNACK_M01001,김밥·주먹밥,570270,0.0355
202107,KOREA_M06002,김치찌개·참치찌개,570270,0.0224
202107,SPECL_M01001,나베·전골,570270,0.0364
202107,KOREA_M01008,낙지·오징어·쭈꾸미 요리,570270,0.0914
202107,KOREA_M05003,닭갈비,570270,0.0174
202107,CNVNC_M01003,닭강정,570270,0.0080
202107,KOREA_M05004,닭똥집·모래집,570270,0.0024
202107,KOREA_M05005,닭발,570270,0.0155
202107,KOREA_M05006,닭볶음탕,570270,0.0167
202107,SPECL_M01002,덮밥,570270,0.0352
202107,CNVNC_M01004,도넛·꽈배기,570270,0.0190
202107,SPECL_M01003,도시락,570270,0.0035
202107,SPECL_M01004,돈가스,570270,0.0555
202107,FORGN_M01003,돈부리,570270,0.0159
202107,FORGN_M01004,동남아음식,570270,0.0082
202107,KOREA_M05007,돼지갈비·주물럭·양념고기,570270,0.0251
202107,KOREA_M05008,돼지고기 구이,570270,0.1237
202107,KOREA_M06003,된장찌개·청국장,570270,0.0535
202107,SPECL_M01005,두부요리,570270,0.0209
202107,CNVNC_M01005,떡·모찌,570270,0.0646
202107,SNACK_M01002,떡볶이,570270,0.0617
202107,DRINK_M01001,라떼류음료,570270,0.0980
202107,DRINK_M01002,라떼류커피,570270,0.0638
202107,SNACK_M01003,라면,570270,0.0715
202107,FORGN_M01006,리소토·필라프,570270,0.0240
202107,FORGN_M01007,마라탕,570270,0.0175
202107,CNVNC_M01006,마카롱·와플·파이·타르트·카페디저트,570270,0.0663
202107,ALCHL_M01003,막걸리,570270,0.0260
202107,CNVNC_M01007,만두,570270,0.0561
202107,KOREA_M02005,매운탕·해물탕,570270,0.0229
202107,ALCHL_M01004,맥주,570270,0.0125
202107,CNVNC_M01008,머핀·카스텔라,570270,0.0076
202107,FORGN_M01008,멕시칸음식,570270,0.0017
202107,SPECL_M01006,면류,570270,0.0024
202107,KOREA_M03002,물냉면,570270,0.0371
202107,KOREA_M01009,민물고기 요리,570270,0.0029
202107,KOREA_M01010,민물장어 요리,570270,0.0049
202107,SPECL_M01007,바닷가재·게요리,570270,0.0216
202107,CNVNC_M02003,반반치킨,570270,0.0018
202107,KOREA_M04001,백반,570270,0.0126
202107,KOREA_M05009,백숙·토종닭,570270,0.0083
202107,SPECL_M01010,버섯요리,570270,0.0016
202107,BARFD_M01004,번데기,570270,0.0025
202107,CNVNC_M01009,베이글·식사용빵,570270,0.0062
202107,CNVNC_M02004,베이크류치킨,570270,0.0017
202107,KOREA_M05010,보쌈,570270,0.0184
202107,KOREA_M01011,복어요리,570270,0.0019
202107,SPECL_M01011,볶음밥,570270,0.0851
202107,KOREA_M06004,부대찌개,570270,0.0085
202107,KOREA_M05011,불닭,570270,0.0081
202107,BUFFT_M01001,뷔페·식권,570270,0.0113
202107,KOREA_M03003,비빔냉면,570270,0.0282
202107,KOREA_M01012,비빔밥,570270,0.0355
202107,CNVNC_M01010,빙수,570270,0.0274
202107,FORGN_M01009,사시미,570270,0.0160
