BASE_YM,MENU_CODE,MENU_NM,NTT_CNT,NTT_PER_AVRG_MENTN_CNT
202103,CNVNC_M02001,간장·마늘치킨,573269,0.0095
202103,KOREA_M01001,간장·양념게장,573269,0.0244
202103,KOREA_M01002,갈비찜·뼈찜,573269,0.0079
202103,KOREA_M02001,갈비탕,573269,0.0122
202103,KOREA_M02002,감자탕,573269,0.0102
202103,CNVNC_M01001,감자튀김·사이드메뉴,573269,0.0274
202103,BARFD_M01001,견과류,573269,0.0002
202103,KOREA_M01003,계란찜·계란말이,573269,0.0444
202103,CNVNC_M01002,고로케·소시지빵·피자빵,573269,0.0087
202103,KOREA_M06001,고추장찌개·돼지찌개,573269,0.0351
202103,BARFD_M01002,골뱅이,573269,0.0046
202103,KOREA_M01004,곰장어 요리,573269,0.0036
202103,KOREA_M05001,곱창·막창·내장부위,573269,0.0639
202103,KOREA_M01005,공기밥·돌솥밥,573269,0.0096
202103,BARFD_M01003,과일안주,573269,0.0004
202103,KOREA_M02003,국·탕,573269,0.0258
202103,KOREA_M02004,국밥,573269,0.0107
202103,KOREA_M03001,국수·칼국수·수제비,573269,0.1126
202103,KOREA_M01006,굴요리,573269,0.0037
202103,FORGN_M01001,그라탕,573269,0.0023
202103,KOREA_M05002,기타동물,573269,0.0003
202103,CNVNC_M02002,기타시즈닝치킨,573269,0.0412
202103,SNACK_M01001,김밥·주먹밥,573269,0.0348
202103,KOREA_M06002,김치찌개·참치찌개,573269,0.0256
202103,SPECL_M01001,나베·전골,573269,0.0424
202103,KOREA_M01008,낙지·오징어·쭈꾸미 요리,573269,0.0914
202103,KOREA_M05003,닭갈비,573269,0.0189
202103,CNVNC_M01003,닭강정,573269,0.0076
202103,KOREA_M05004,닭똥집·모래집,573269,0.0024
202103,KOREA_M05005,닭발,573269,0.0155
202103,KOREA_M05006,닭볶음탕,573269,0.0159
202103,SPECL_M01002,덮밥,573269,0.0355
202103,CNVNC_M01004,도넛·꽈배기,573269,0.0183
202103,SPECL_M01003,도시락,573269,0.0041
202103,SPECL_M01004,돈가스,573269,0.0568
202103,FORGN_M01003,돈부리,573269,0.0185
202103,FORGN_M01004,동남아음식,573269,0.0047
202103,KOREA_M05007,돼지갈비·주물럭·양념고기,573269,0.0257
202103,KOREA_M05008,돼지고기 구이,573269,0.1273
202103,KOREA_M06003,된장찌개·청국장,573269,0.0569
202103,SPECL_M01005,두부요리,573269,0.0222
202103,CNVNC_M01005,떡·모찌,573269,0.0679
202103,SNACK_M01002,떡볶이,573269,0.0650
202103,DRINK_M01001,라떼류음료,573269,0.0993
202103,DRINK_M01002,라떼류커피,573269,0.0690
202103,SNACK_M01003,라면,573269,0.0699
202103,FORGN_M01006,리소토·필라프,573269,0.0284
202103,FORGN_M01007,마라탕,573269,0.0206
202103,CNVNC_M01006,마카롱·와플·파이·타르트·카페디저트,573269,0.0797
202103,ALCHL_M01003,막걸리,573269,0.0252
202103,CNVNC_M01007,만두,573269,0.0549
202103,KOREA_M02005,매운탕·해물탕,573269,0.0236
202103,ALCHL_M01004,맥주,573269,0.0102
202103,CNVNC_M01008,머핀·카스텔라,573269,0.0086
202103,FORGN_M01008,멕시칸음식,573269,0.0018
202103,SPECL_M01006,면류,573269,0.0027
202103,KOREA_M03002,물냉면,573269,0.0227
202103,KOREA_M01009,민물고기 요리,573269,0.0026
202103,KOREA_M01010,민물장어 요리,573269,0.0041
202103,SPECL_M01007,바닷가재·게요리,573269,0.0229
202103,CNVNC_M02003,반반치킨,573269,0.0018
202103,KOREA_M04001,백반,573269,0.0128
202103,KOREA_M05009,백숙·토종닭,573269,0.0044
202103,SPECL_M01010,버섯요리,573269,0.0017
202103,BARFD_M01004,번데기,573269,0.0023
202103,CNVNC_M01009,베이글·식사용빵,573269,0.0068
202103,CNVNC_M02004,베이크류치킨,573269,0.0020
202103,KOREA_M05010,보쌈,573269,0.0180
202103,KOREA_M01011,복어요리,573269,0.0019
202103,SPECL_M01011,볶음밥,573269,0.0924
202103,KOREA_M06004,부대찌개,573269,0.0095
202103,KOREA_M05011,불닭,573269,0.0081
202103,BUFFT_M01001,뷔페·식권,573269,0.0117
202103,KOREA_M03003,비빔냉면,573269,0.0185
202103,KOREA_M01012,비빔밥,573269,0.0335
202103,CNVNC_M01010,빙수,573269,0.0074
202103,FORGN_M01009,사시미,573269,0.0160
202103,KOREA_M02006,사철탕·보신탕,573269,0.0002
202103,ALCHL_M01005,사케,573269,0.0134
202103,KOREA_M05012,삼계탕,573269,0.0068
202103,KOREA_M01013,새우구이,573269,0.0226
202103,CNVNC_M01011,샌드위치,573269,0.0332
202103,FORGN_M01010,샐러드,573269,0.1318
202103,KOREA_M01014,생선구이,573269,0.0190
202103,KOREA_M06005,생선찌개,573269,0.0010
202103,KOREA_M01015,생선찜·해물찜,573269,0.0047
202103,SPECL_M01012,샤브샤브,573269,0.0199
202103,KOREA_M02007,설렁탕·곰탕,573269,0.0159
202103,KOREA_M05013,소고기구이,573269,0.0746
202103,FORGN_M01011,소바,573269,0.0119
202103,CNVNC_M01012,소보로·슈크림·브라우니·달콤한빵·과자류,573269,0.1280
202103,BARFD_M01005,소시지,573269,0.0113
202103,KOREA_M05014,수육,573269,0.0208
202103,SNACK_M01004,순대,573269,0.0245
202103,KOREA_M02008,순대국,573269,0.0073
